Species,Common_name
Amphisbaena leucocephala,Whitheaded Worm Lizard
Amphisbaena littoralis,
Amphisbaena lumbricalis,
Amphisbaena manni,Mann's  Worm Lizard
Amphisbaena maranhensis,
Amphisbaena medemi,
Amphisbaena mensae,
Amphisbaena mertensii,Mertens'  Worm Lizard
Amphisbaena metallurga,
Amphisbaena miringoera,
Amphisbaena mitchelli,Mitchell's Worm Lizard
Amphisbaena munoai,Munoa Worm Lizard
Amphisbaena myersi,
Amphisbaena neglecta,Neglected Worm Lizard
Amphisbaena nigricauda,Black-headed Worm Lizard
Amphisbaena occidentalis,Western  Worm Lizard
Amphisbaena pericensis,Perico Worm Lizard
Amphisbaena persephone,
Amphisbaena plumbea,Lead Worm Lizard
Amphisbaena polygrammica,Werner's  Worm Lizard
Amphisbaena pretrei,Rio Grande Worm Lizard
Amphisbaena prunicolor,Plum-colored Worm Lizard
Amphisbaena ridleyi,Ridley's Worm Lizard
Amphisbaena roberti,
Amphisbaena rozei,Roze's Worm Lizard
Amphisbaena sanctaeritae,
Amphisbaena saxosa,
Amphisbaena schmidti,Schmidt's Worm Lizard
Amphisbaena silvestrii,Silvestri's Worm Lizard
Amphisbaena slateri,Slater's Worm Lizard
Amphisbaena slevini,Slevin's Worm Lizard
Amphisbaena spurelli,Spirrelli's Worm Lizard
Amphisbaena steindachneri,
Amphisbaena stejnegeri,Stejneger's Worm Lizard
Amphisbaena supernumeraria,
Amphisbaena talisiae,
Amphisbaena townsendi,
Amphisbaena trachura,
Amphisbaena tragorrhectes,
Amphisbaena uroxena,
Amphisbaena vanzolinii,Vanzolini's Worm Lizard
Amphisbaena vermicularis,Wagler's Worm Lizard
Amphisbaena xera,Dry Worm Lizard
Amplorhinus multimaculatus,"Many-spotted Snake, Cape Reed Snake"
Amyda cartilaginea,"E: Black-rayed Soft-shelled Turtle, Asiatic Softshell Turtle
G: Knorpelweichschildkröte"
Amyda ornata,
Anadia altaserrania,
Anadia antioquensis,
Anadia bitaeniata,Two-banded Anadia
Anadia blakei,Blake's Anadia
Anadia bogotensis,Bogota Anadia
Anadia brevifrontalis,Shorthead Anadia
Anadia bumanguesa,
Anadia escalerae,
Anadia hobarti,Hobart's Anadia
Anadia marmorata,Spotted Anadia
Anadia ocellata,Ocellated Anadia
Anadia pamplonensis,Pamplona Anadia
Anadia pariaensis,
Anadia petersi,Peters' Anadia
Anadia pulchella,Ruthven's Anadia
Anadia rhombifera,Rhombifer Anadia
Anadia steyeri,Steyer's Anadia
Anadia vittata,Boulenger's Anadia
Anatololacerta anatolica,
Anatololacerta budaki,
Anatololacerta danfordi,"E: Danford's Lizard
G: Anatolische Eidechse"
Anatololacerta pelasgiana,
Ancylocranium barkeri,Lindi Sharp-snouted Worm Lizard
Ancylocranium ionidesi,Kilwa Sharp-snouted Worm Lizard
Ancylocranium somalicum,Somali Sharp-snouted Worm Lizard
Andinosaura afrania,
Andinosaura aurea,
Andinosaura crypta,
Andinosaura hyposticta,Boulenger's Lightbulb Lizard
Andinosaura kiziriani,
Andinosaura laevis,Shiny Lightbulb Lizard
Andinosaura oculata,Tropical Lightbulb Lizard
Andinosaura petrorum,
Andinosaura stellae,
Andinosaura vespertina,
Andinosaura vieta,
Anelytropsis papillosus,"E: Mexican Blind Lizard
S: Lagartija Ciega Mexicana"
Anepischetosia maccoyi,Highlands Forest-skink
Anguis cephallonica,Peloponnese Slow Worm
Anguis colchica,"E: Slow Worm
G: Blindschleiche
NL: hazelworm"
Anguis fragilis,"E: Slow Worm
G: Blindschleiche
NL: hazelworm"
Anguis graeca,"E: Greek Slow Worm
G: Griechische Blindschleiche"
Anguis veronensis,"E: Italian Slow Worm
G: Italienische Blindschleiche"
Anilios affinis,Small-headed Blind Snake
Anilios ammodytes,
Anilios aspinus,
Anilios australis,Southern Blind Snake
Anilios batillus,Batillus Blind Snake
Anilios bicolor,
Anilios bituberculatus,Prong-snouted Blind Snake
Anilios broomi,"E: Faint-striped Blind Snake, Striate Blind Snake
G: Gestreifte Blindschlange"
Anilios centralis,Centralian Blind Snake
Anilios chamodracaena,Cape York Striped Blind Snake
Anilios diversus,Northern Blind Snake
Anilios endoterus,Interior Blind Snake
Anilios erycinus,Northern New Guinea blindsnake
Anilios fossor,
Anilios ganei,
Anilios grypus,long-beaked Blind Snake
Anilios guentheri,Top End Blind Snake
Anilios hamatus,Pale-headed Blind Snake
Anilios howi,Kimberley deep-soil Blind Snake
Anilios insperatus,Fassifern Blind Snake
Anilios kimberleyensis,Kimberley Shallow-soil Blind Snake
Anilios leptosomus,Murchison Blind Snake
Anilios leucoproctus,White-tailed blindsnake
Anilios ligatus,Robust Blind Snake
Anilios longissimus,
Anilios margaretae,Buff-snouted Blind Snake
Anilios micrommus,Small-eyed Blind Snake
Anilios minimus,Groote Dwarf Blind Snake
Anilios nema,
Anilios nigrescens,Blackish Blind Snake
Anilios nigricaudus,
Anilios obtusifrons,E: Blunt-snouted Blindsnake
Anilios pilbarensis,
Anilios pinguis,Rotund Blind Snake
Anilios proximus,Proximus Blind Snake
Anilios robertsi,
Anilios silvia,"Great Sandy Blind Snake, Sylvia's Blind Snake"
Anilios splendidus,
Anilios systenos,E: Sharp-snouted Blindsnake
Anilios torresianus,"Torres Strait Blindsnake, (was: Southern New Guinea blindsnake)"
Anilios tovelli,Darwin Blind Snake
Anilios troglodytes,Sandamara Blind Snake
Anilios unguirostris,Claw-snouted Blind Snake
Anilios waitii,Beaked Blind Snake
Anilios wiedii,Brown-snouted Blind Snake
Anilios yampiensis,Yampi Blind Snake
Anilios yirrikalae,Yirrkala Blind Snake
Anilios zonula,E: West Kimberley Blindsnake
Anilius scytale,"E: Coral Cylinder Snakes
G: Korallen-Rollschlange
phelpsorum: Coral False Amazon"
Anisolepis grilli,Boulenger's Tree Lizard
Anisolepis longicauda,
Anisolepis undulatus,Wiegmann's Tree Lizard
Anniella alexanderae,E: Temblor Legless Lizard
Anniella campi,E: Southern Sierra Legless Lizard
Anniella geronimensis,"E: Baja California Legless Lizard
S: Lagartija Sin Patas"
Anniella grinnelli,E: Bakersfield Legless Lizard
Anniella pulchra,"E: California Legless Lizard
S: Lagartija Ápoda
pulchra: Silvery Legless Lizard, S: Apoda Plateada
nigra: Black Legless Lizard, S: Apoda Negra"
Anniella stebbinsi,E: Southern California Legless Lizard
Anolis acutus,"Saint Croix's anole, Sharp Anole"
Anolis aeneus,Bronze Anole
Anolis aequatorialis,"E: Equatorial Anole
S: Camaleón sudamericano ecuatoriano"
Anolis agassizi,Agassiz's Anole
Anolis agueroi,Cabo Cruz Bearded Anole
Anolis ahli,Ahl's Anole
Anolis alayoni,Guantanamo Twig Anole
Anolis alfaroi,Small-fanned Bush Anole
Anolis aliniger,"Northern green twig anole, LaVega Anole"
Anolis allisoni,"E: Allison's Anole
S: Abanquillo de Allison"
Anolis allogus,Bueycito Anole
Anolis alocomyos,
Anolis altae,High Anole
Anolis altavelensis,Noble's Anole
Anolis altitudinalis,TURQUINO GREEN-MOTTLED ANOLE
Anolis alumina,Shiny Anole
Anolis alutaceus,"Blue-eyed grass-bush anole, Monte Verde Anole"
Anolis alvarezdeltoroi,"S: Abanquillo de Alvarez del Toro
E: Alvarez del Toro’s Anole"
Anolis amplisquamosus,
Anolis anatoloros,
Anolis anchicayae,
Anolis anfiloquioi,Anfiodlul Anole
Anolis angusticeps,Cuban Twig Anole
Anolis anisolepis,"E: Chiapas Ornate Anole
S: Abaniquillo Adornado de Chiapas"
Anolis annectens,Annex  Anole
Anolis anoriensis,
Anolis antioquiae,Antiodlula Anole
Anolis antonii,Anton's Anole
Anolis apletolepis,
Anolis apletophallus,
Anolis apollinaris,Boulenger's  Anole
Anolis aquaticus,Water  Anole
Anolis argenteolus,Guantanamo  Anole
Anolis argillaceus,Bay Anole
Anolis armouri,Armoured Anole
Anolis auratus,Grass Anole
Anolis aurifer,
Anolis bahorucoensis,Bahoruco Long-snouted Anole
Anolis baleatus,"Dominican giant anole, Puerto Plata Anole"
Anolis baracoae,Baracoa Anole
Anolis barahonae,Barahona  Anole
Anolis barbatus,Western Bearded Anole
Anolis barbouri,Hispaniolan hopping anole
Anolis barkeri,"E: Barker's Anole
S: Abaniquillo Arroyero"
Anolis bartschi,"western cliff anole, West Cuban Anole"
Anolis beckeri,"E: Becker’s Lichen Anole
S: Abaniquillo Liquenado de Becker"
Anolis bellipeniculus,
Anolis benedikti,
Anolis bicaorum,
Anolis bimaculatus,Panther Anole
Anolis binotatus,Two-marked Anole
Anolis biporcatus,"E: Giant Green Anole, Neotropical Green Anole
S: Abaniquillo Verde"
Anolis birama,Branch Anole
Anolis bitectus,Roof Anole
Anolis blanquillanus,Hummelinck's Anole
Anolis boettgeri,Boettger's Anole
Anolis bombiceps,"Surprise Anole, Blue-lipped forest anole"
Anolis bonairensis,Ruthven's Anole
Anolis boulengerianus,"E: Tehuantepec Anole
S: Abaniquillo Tehuano"
Anolis brasiliensis,Brazilian Anole
Anolis bremeri,Herradura Anole
Anolis breslini,
Anolis brevirostris,"desert gracile anole, Shortnose Anole"
Anolis brooksi,
Anolis brunneus,Crooked lsland Anole
Anolis calimae,Ayala's Anole
Anolis campbelli,
Anolis capito,"E: Bighead Anole
S: Abaniquillo Jaspeado"
Anolis caquetae,Caqueta Anole
Anolis carlliebi,E: Carl Lieb’s Anole
Anolis carlostoddi,
Anolis carolinensis,"E: Green anole
S: Anolis Verde
G: Rotkehlanolis"
Anolis carpenteri,Carpenter Anole
Anolis casildae,Casilda's Anole
Anolis caudalis,Cochran's Gianthead Anole
Anolis centralis,Central Anole
Anolis chamaeleonides,Short-bearded Anole
Anolis charlesmyersi,
Anolis chloris,"E: Boulenger's Green Anole
S: Camaleón sudamericano gema del Chocó"
Anolis chlorocyanus,"Northern Hispaniolan green anole, Hispaniolan green anole"
Anolis chlorodius,
Anolis christophei,"big-fanned trunk anole, King Christophe Anole"
Anolis chrysolepis,Goldenscale Anole
Anolis chrysops,
Anolis clivicola,Mountain Anole
Anolis cobanensis,Stuart's Anole
Anolis coelestinus,"Hispaniolan green anole, Jeremie Anole"
Anolis compressicauda,"E: Malposo Scaly Anole
S: Abanquillo Escamudo"
Anolis concolor,Isla San Andres Anole
Anolis confusus,Cabo Cruz Trunk Anole
Anolis conspersus,"Grand Cayman blue-fanned anole, Grand Cayman Anole"
Anolis cooki,"Cook's pallid anole, Cook's Anole"
Anolis crassulus,"E: Ornate Anole
S: Abaniquillo Ornado"
Anolis cristatellus,"E: Common Puerto Rican anole, Crested anole
S: Lagartija Crestada"
Anolis cristifer,"E: Crested Lichen Anole, Cristifer Anole
S: Abaniquillo Liquenado Crestado"
Anolis cryptolimifrons,
Anolis cupeyalensis,Cupeyal Anole
Anolis cupreus,Copper Anole
Anolis cuprinus,"E: Copper Anole, Chiapas Anole
S: Abaniquillo de Chiapas"
Anolis cuscoensis,
Anolis cusuco,
Anolis cuvieri,"Puerto Rican giant anole, Cuvier's Anole, Green Giant Anole

Spanish: Lagarto verde"
Anolis cyanopleurus,Yateras Anole
Anolis cyanostictus,
Anolis cybotes,"Hispaniolan stout anole, Large-headed anole"
Anolis cymbops,"E: Cope's Veracruz Anole
S: Abaniquillo de Veracruz"
Anolis damulus,"E: Cope's Smooth Anole
S: Abaniquillo Liso de Cope"
Anolis danieli,
Anolis darlingtoni,Darlington's Anole
Anolis datzorum,
Anolis delafuentei,Guamuhaya Anole
Anolis deltae,Delta  Anole
Anolis demissus,Île Grande Cayemite green anole
Anolis desechensis,Heatwole's  Anole
Anolis desiradei,
Anolis dissimilis,Odd Anole
Anolis distichus,"Hispaniolan gracile anole, Bark anole"
Anolis divius,
Anolis dolichocephalus,Place Negre Anole
Anolis dollfusianus,"E: Coffee Anole
S: Abaniquillo de Cafetal"
Anolis dominicensis,
Anolis duellmani,"E: Duellman's Pigmy Anole
S: Abaniquillo de Duellman"
Anolis dunni,"E: Dunn's  Anole
S: Abaniquillo de Dunn"
Anolis eladioi,
Anolis elcopeensis,
Anolis equestris,"E: Knight anole
G: Ritteranolis"
Anolis ernestwilliamsi,"Carrot Rock's anole, Ernest's Anole"
Anolis etheridgei,"Montane bush anole, Etheridge's Anole"
Anolis eugenegrahami,Eugene's Anole
Anolis eulaemus,Good Anole
Anolis euskalerriari,
Anolis evermanni,"Emerald anole, Evermann's Anole, Small Green Anole

Spanish: Lagartijo verde"
Anolis extremus,Barbados anole
Anolis fairchildi,Cay Sal Anole
Anolis fasciatus,Banded Anole
Anolis favillarum,
Anolis ferreus,Morne Constant Anole
Anolis festae,Veronica's  Anole
Anolis fitchi,Fitch's Anole
Anolis forresti,
Anolis fortunensis,
Anolis fowleri,Fowler's Anole
Anolis fraseri,Fraser's Anole
Anolis frenatus,Bridled Anole
Anolis fugitivus,Moa Anole
Anolis fungosus,Myers' Anole
Anolis fuscoauratus,"Brown-eared Anole, Slender anole"
Anolis gadovii,"E: Gadow's Anole
S: Abaniquillo de Gadow"
Anolis gaigei,Gaige’s Anole
Anolis garmani,"Jamaican anole, Jamaica Giant Anole"
Anolis garridoi,Escambray Twig Anole
Anolis gemmosus,"E: O'Shaughnessy's Anole, Andes  Anole
S: Camaleón sudamericano gema del subtrópico"
Anolis gibbiceps,Hook Anole
Anolis ginaelisae,
Anolis gingivinus,"Anguilla bank anole, Anguilla Anole"
Anolis gonavensis,
Anolis gorgonae,
Anolis gracilipes,"E: Charm Anole
S: Camaleón sudamericano del Chocó"
Anolis grahami,"E: Graham's Anole
G: Graham-Anolis"
Anolis granuliceps,Granular Anole
Anolis griseus,Saint Vincent's tree anole
Anolis gruuo,
Anolis guafe,Cabo Cruz Banded Anole
Anolis guamuhaya,Escambray Bearded Anole
Anolis guazuma,Sierra Anole
Anolis gundlachi,"E: Yellow-chinned anole, Gundlach’s Anole, Yellow-beard Anole
G: Weißlippenanolis
Spanish: Lagartijo barba amarilla"
Anolis haetianus,Tiburon Anole
Anolis haguei,Hague's Anole
Anolis hendersoni,Henderson's Anole
Anolis heterodermus,Flat Andes Anole
Anolis heteropholidotus,
Anolis hobartsmithi,"S: Abanquillo de Hobart Smith
E: Hobart Smith’s Anole"
Anolis homolechis,Habana Anole
Anolis huilae,Huila Anole
Anolis humilis,Humble Anole
Anolis hyacinthogularis,"E: Blue dewlap anole 
Spanish: Anolis de saco azul"
Anolis ibague,Ibague Anole
Anolis ibanezi,
Anolis ignigularis,
Anolis imias,Imias Anole
Anolis immaculogularis,
Anolis impetigosus,
Anolis incredulus,Turquino Emerald Anole
Anolis inderenae,
Anolis inexpectatus,Pineland Bush Anole
Anolis insignis,Decorated Anole
Anolis insolitus,La Palma Anole
Anolis isolepis,Jatibonico  Anole
Anolis jacare,Jacare Anole
Anolis johnmeyeri,Meyer's Anole
Anolis juangundlachi,Finca Ceres Anole
Anolis jubar,Cubitas Anole
Anolis kahouannensis,
Anolis kathydayae,
Anolis kemptoni,Kempton's Anole
Anolis koopmani,Koopmans Anole
Anolis kreutzi,
Anolis krugi,"Olive bush anole, Krug's Anole, Orange Dewlap Anole

Spanish: Lagartijo de las yerbas de la montaña"
Anolis kunayalae,
Anolis laevis,Smooth Anole
Anolis laeviventris,"E: White Anole
S: Abaniquillo Blanco"
Anolis lamari,
Anolis landestoyi,
Anolis latifrons,G: Breitstirnige Mopseidechse (fide BERTHOLD 1846)
Anolis leachii,"Barbuda Bank tree anole, Panther Anole"
Anolis leditzigorum,
Anolis lemniscatus,
Anolis lemurinus,"E: Ghost Anole
S: Abaniquillo Lemurino"
Anolis leucodera,
Anolis limifrons,"Slender Anole, Border Anole"
Anolis limon,
Anolis lineatopus,"E: Stripefoot Anole
G: Strichfuss-Anolis"
Anolis lineatus,Striped Anole
Anolis liogaster,"E: Guerreran Anole
S: Abaniquillo Rojo"
Anolis lionotus,Lion Anole
Anolis litoralis,ORIENTE PALLID ANOLE
Anolis lividus,Plymouth Anole
Anolis longiceps,Navassa Anole
Anolis longitibialis,Isla Beata Anole
Anolis lososi,"E: Losos’s anole 
Spanish: Anolis de Losos"
Anolis loveridgei,Loveridge's Anole
Anolis loysiana,Peach  Anole
Anolis luciae,"Saint Lucian anole, St. Lucia Anole"
Anolis lucius,Cave Anole
Anolis luteogularis,"Western giant anole, White-throated Anole"
Anolis luteosignifer,Cayman Brac Anole
Anolis lynchi,"E: Lynch's Anole
S: Camaleón sudamericano de John Lynch"
Anolis lyra,
Anolis macilentus,Black-cheeked Bush Anole
Anolis macrinii,"E: Macrinius' Anole
S: Abaniquillo de Macrinius"
Anolis macrolepis,Big-scaled Anole
Anolis macrophallus,
Anolis maculigula,
Anolis maculiventris,"E: Blotchbelly Anole
S: Camaleón sudamericano de vientre blanco"
Anolis magnaphallus,
Anolis maia,
Anolis marcanoi,Red-fanned Stout Anole
Anolis mariarum,Blemished Anole
Anolis marmoratus,"Guadeloupean anole, Leopard Anole"
Anolis marron,Jacmel Anole
Anolis marsupialis,
Anolis matudai,"S: Abaniquillo de Matuda
E: Matuda’s Anole"
Anolis maynardi,Maynard's Anole
Anolis mccraniei,
Anolis medemi,
Anolis megalopithecus,Ruida's Anole
Anolis megapholidotus,"E: Large-scaed Anole
S: Abaniquillo de Escamas Grandes"
Anolis menta,Mixed Anole
Anolis meridionalis,
Anolis mestrei,Pinardel Rio Anole
Anolis microlepidotus,"E: Guerreran Oak Anole
S: Abaniquillo de Encino Guerrense"
Anolis microlepis,"E: Chiapas Smooth Anole
S: Abaniquillo Liso de Chiapas"
Anolis microtus,Tiny Anole
Anolis milleri,"E: Miller's Anole
S: Abaniquillo de Miller"
Anolis mirus,
Anolis monensis,Mona Anole
Anolis monteverde,
Anolis monticola,Foothill Anole
Anolis morazani,
Anolis muralla,
Anolis nasofrontalis,Nose Anole
Anolis naufragus,"E: Hidalgo Anole
S: Abaniquillo de Hidalgo"
Anolis neblininus,
Anolis nebuloides,"E: False Clouded Anole
S: Falso Abaniquillo Nebulosa"
Anolis nebulosus,"E: Clouded Anole
S: Roño de Paño"
Anolis nelsoni,Nelson's Anole
Anolis nicefori,Niceforo's Andes Anole
Anolis nietoi,
Anolis nigrolineatus,
Anolis noblei,Holguin Anole
Anolis notopholis,Scalyback Anole
Anolis nubilus,Redonda Anole
Anolis occultus,"Puerto Rican twig anole, Limestone Anole, Dwarf Anole

Spanish: Largartijo enano"
Anolis ocelloscapularis,
Anolis oculatus,"Dominican anole, Eyed Anole"
Anolis oligaspis,Bahama Anole
Anolis olssoni,"desert grass anole, Monte Cristi Anole"
Anolis omiltemanus,"E: Omilteme Anole
S: Abaniquillo Amarillo"
Anolis onca,Bulky Anole
Anolis opalinus,Bluefields Anole
Anolis ophiolepis,"Five-striped grass anole, Snakescale Anole"
Anolis oporinus,Pimienta Green Anole
Anolis orcesi,Orces' Andes Anole
Anolis ortonii,"Bark Anole, Orton's Anole"
Anolis osa,
Anolis otongae,
Anolis oxylophus,Stream Anole
Anolis pachypus,Thick Anole
Anolis paravertebralis,
Anolis parilis,Ecuador Anole
Anolis parvauritus,"E: Giant Green Anole, Neotropical Green Anole
S: Abaniquillo Verde"
Anolis parvicirculatus,"E: Berriozabal Anole
S: Abaniquillo de Berriozabal"
Anolis paternus,Nueva Gerona Anole
Anolis pecuarius,Île-à-Vache green anole
Anolis pentaprion,Lichen Anole
Anolis peraccae,
Anolis peruensis,
Anolis petersii,"E: Peters' Anole
S: Abaniquillo de Peters"
Anolis peucephilus,
Anolis peynadoi,"Northern Hispaniolan green anole, Hispaniolan green anole"
Anolis phyllorhinus,"Leaf-nosed anole, Bat Anole"
Anolis pigmaequestris,Cayko Frances Anole
Anolis pijolense,
Anolis pinchoti,Crab Cay Anole
Anolis placidus,Placid Anole
Anolis planiceps,Goldenscale Anole
Anolis podocarpus,
Anolis poecilopus,Dappled Anole
Anolis poei,"E: Telimbela anoles
S: Anolis de Telimbela"
Anolis pogus,"Anguilla bank bush anole, Watts'  Anole"
Anolis polylepis,Many-scaled Anole
Anolis poncensis,"Ponce small-fanned anole, Ponce Anole"
Anolis porcatus,Cuban Green Anole
Anolis porcus,Oriente Bearded Anole
Anolis prasinorius,
Anolis princeps,First Anole
Anolis proboscis,"E: Horned Anole, Pinocchio lizard
G: (Nas-) Hornanolis, Pinocchioechse
S: Camaleón sudamericano de hoja nasal de los Andes"
Anolis properus,"Hispaniolan gracile anole, Bark anole"
Anolis propinquus,
Anolis pseudokemptoni,
Anolis pseudopachypus,
Anolis pseudotigrinus,False Tiger  Anole
Anolis pulchellus,"Puerto Rican bush anole, Puerto Rican  Anole, Snake Anole

Spanish: Lagartijo de las yerbas"
Anolis pumilus,Cuban Spiny-Plant Anole
Anolis punctatus,"Spotted Anole, Amazon Green Anole"
Anolis purpurescens,Purple Anole
Anolis purpurgularis,
Anolis purpuronectes,
Anolis pygmaeus,"E: Chiapas Pigmy Anole
S: Abaniquillo Pigmeo Chiapaneco"
Anolis quadriocellifer,Peninsula Anole
Anolis quaggulus,
Anolis quercorum,"E: Oaxacan Oak Anole, Gray Anole
S: Anolis Gris"
Anolis ravitergum,"Hispaniolan gracile anole, Bark anole"
Anolis reconditus,Blue Mountains Anole
